"","text"
"1","   rangking jadikan beliau  periode"
"2","   riode   ncaian maksimalmenjadi no "
"3"," yg mangkraaakkkk   oyek hambalang lo  udah mo abis  riode ber "
"4"," nasdem dukung jokowi   riode jokowi  selesai  nasdem sah  usung sia "
"5","tetafokus jokowi  periode that is the int jokowilanjut tetaokowi jokowimaruf jokowimarufamin"
"6","hidujokowi pdip  periode"
"7","sia n cawaes intinya jokowi   riode jokowilanjuttetaokowi jokowimarufjokowimarufamin"
"8","ta k jokowi  riode  "
"9"," sederhana  les    masyarakat mengangga riode jokowi memimn masyarakat meng "
"10","  "
"11"," pembangunan infrastruktur    terbukti mam menahan laju inflasi da riode jokowi a "
"12","   presiden jokowi maju  riode ga  yg  otes   esiden jabat negara  "
"13"," geber   udah  litikhadiah  mr esiden jokowi  riode    nya sia "
"14"," hahagua bkn relawan g  urusan sm wacana  riode gua cmn "
"15"," muter aan elu aja yg bingung  nuduh orang mutery "
"16","  trsemang  runya jokowi menyetujui wacana  riode c "
"17"," brrti kau  g rnah nonton tv   jokowi  sign "
"18"," itukan ivat jetnya surya loh sp  mendukung    totalitas  "
"19","  relawan tdk sehat yg bcr  riode jls   k jokowi "
"20","  sumbar  jokowi kalah ttetamenang  sm riode "
"21","  total rdagangan indonesiaeaeu tercatat  usd  miliar  riode  eksr indonesi "
"22"," lha kalo  org n anies jdi esiden a salahrelawan k "
"23"," cebong i w kadrun mabuk s onta hah w  o  riode keluarga w  coblos jokowi w anti cc "
"24","  riode"
"25"," emang ganjar an erick jokowi nggak da  kamnye kemaren  istora yg  riode  a nggak melanggarhadeeeuh"
"26","rakyat bingung relawan jokowi  kasak kusuk urusan coas caes  periode  jokowi  ga laku  "
"27"," ngga  kau bilang kehendak tuhan jokowi  presid "
"28","wajar rakyat kecewa  merintahan    rakyat ngin rubahan rakyat   nundaan "
"29"," buseh orang jokowi  periode"
"30","  "
"31"," emang   yg dukung jokowi  riode  nundaan milu ormas intoleran ya bong "
"32"," iyain ajalah biar loe senang  narasinya   ksakan  "
"33","   jokowi udh  periode  laah wan anus   calon  "
"34"," mengharaan jokowi mundursami  kiamat n si boneka jokowi nggak   mundurmalah   rio "
"35","periode   pa  hebat "
"36"," tito    bangsadi  isu jokowi  riodedi  satgassus mp sambodi  isu otonom "
"37","   nge tweet jokowi  riode sal"
"38","prestasi puan maharani munafikun sahkan uu ikn   musnahkan  kota jakarta dikritik rakyat kar "
"39"," tito    bangsadi  isu jokowi  riodedi  satgassus mp sambodi  isu otonom "
"40"," tito    bangsadi  isu jokowi  riodedi  satgassus mp sambodi  isu otonom "
"41"," jokowi ga salah k mafianya yg salah jokowi org  yg berjuang    riode  "
"42"," kena malu  da jamanya k jokowi nuntutnya   kemana da riode esiden yg  lucu "
"43"," kl   keuntungan jokowi mah   riode rtama uda dibikin  yukgunakanakalsehat"
"44"," keknya sing ra ngotak koe nojokowi ddi walkot  riode ddi gubernur  ri "
"45","ciriciri orang masuk surga  nemenin carnya eyelash  nails artsam jokowi  riode   kelar "
"46"," an lihannya jokowi teta riode "
"47"," ttejokowi esiden  riode"
"48"," salah  ajak jokowi  salahsaya dukung utk bera riode n  "
"49"," ktya gak rcaya k jokowiknoni  riode   takutcoba "
"50"," jokowi berkalikali menyamikan tdk bersedia utk   riodekrn konst "
"51"," rezim  dpr riode  mencatatkan nama meraka  sejarah mematikan demokrasi indones "
"52"," lo yg bodohjelas jokowi sdh  riode goblok lo"
"53"," mantakdet tolong  riode aja ya"
"54","   cm berkir jokowi orang  tdk nya beban am dendam    sami beliau "
"55","  terlih mas  ngefans  keluarga k jokowi  riode   esiden   j "
"56","ruarrr biasaaahh agendareencanaplan rezim oligarki   a jokowi  periodeb penundaan pemilu c "
"57"," ham   ketololan elo dimana  kodran kadrun  ntaran dikit g deh  udah tol "
"58"," alhamdulillah yaa  jokowi berhasil   ndukung  "
"59","  anak  lahir kemarin sore kali ya  tandanya anis besuk menjabat ri   riode lihat nih con "
