"","klasifikasi","score","text"
"1","Netral",0,"   rangking jadikan beliau  periode"
"2","Netral",0,"   riode   ncaian maksimalmenjadi no "
"3","Netral",0," yg mangkraaakkkk   oyek hambalang lo  udah mo abis  riode ber "
"4","Netral",0," nasdem dukung jokowi   riode jokowi  selesai  nasdem sah  usung sia "
"5","Netral",0,"tetafokus jokowi  periode that is the int jokowilanjut tetaokowi jokowimaruf jokowimarufamin"
"6","Netral",0,"hidujokowi pdip  periode"
"7","Netral",0,"sia n cawaes intinya jokowi   riode jokowilanjuttetaokowi jokowimarufjokowimarufamin"
"8","Netral",0,"ta k jokowi  riode  "
"9","Negatif",-2," sederhana  les    masyarakat mengangga riode jokowi memimn masyarakat meng "
"10","Netral",0,"  "
"11","Negatif",-2," pembangunan infrastruktur    terbukti mam menahan laju inflasi da riode jokowi a "
"12","Netral",0,"   presiden jokowi maju  riode ga  yg  otes   esiden jabat negara  "
"13","Netral",0," geber   udah  litikhadiah  mr esiden jokowi  riode    nya sia "
"14","Negatif",-1," hahagua bkn relawan g  urusan sm wacana  riode gua cmn "
"15","Negatif",-2," muter aan elu aja yg bingung  nuduh orang mutery "
"16","Netral",0,"  trsemang  runya jokowi menyetujui wacana  riode c "
"17","Netral",0," brrti kau  g rnah nonton tv   jokowi  sign "
"18","Netral",0," itukan ivat jetnya surya loh sp  mendukung    totalitas  "
"19","Positif",1,"  relawan tdk sehat yg bcr  riode jls   k jokowi "
"20","Netral",0,"  sumbar  jokowi kalah ttetamenang  sm riode "
"21","Netral",0,"  total rdagangan indonesiaeaeu tercatat  usd  miliar  riode  eksr indonesi "
"22","Netral",0," lha kalo  org n anies jdi esiden a salahrelawan k "
"23","Negatif",-1," cebong i w kadrun mabuk s onta hah w  o  riode keluarga w  coblos jokowi w anti cc "
"24","Netral",0,"  riode"
"25","Netral",0," emang ganjar an erick jokowi nggak da  kamnye kemaren  istora yg  riode  a nggak melanggarhadeeeuh"
"26","Negatif",-2,"rakyat bingung relawan jokowi  kasak kusuk urusan coas caes  periode  jokowi  ga laku  "
"27","Netral",0," ngga  kau bilang kehendak tuhan jokowi  presid "
"28","Negatif",-2,"wajar rakyat kecewa  merintahan    rakyat ngin rubahan rakyat   nundaan "
"29","Negatif",-1," buseh orang jokowi  periode"
"30","Netral",0,"  "
"31","Negatif",-1," emang   yg dukung jokowi  riode  nundaan milu ormas intoleran ya bong "
"32","Netral",0," iyain ajalah biar loe senang  narasinya   ksakan  "
"33","Netral",0,"   jokowi udh  periode  laah wan anus   calon  "
"34","Negatif",-2," mengharaan jokowi mundursami  kiamat n si boneka jokowi nggak   mundurmalah   rio "
"35","Positif",1,"periode   pa  hebat "
"36","Negatif",-2," tito    bangsadi  isu jokowi  riodedi  satgassus mp sambodi  isu otonom "
"37","Netral",0,"   nge tweet jokowi  riode sal"
"38","Positif",1,"prestasi puan maharani munafikun sahkan uu ikn   musnahkan  kota jakarta dikritik rakyat kar "
"39","Negatif",-2," tito    bangsadi  isu jokowi  riodedi  satgassus mp sambodi  isu otonom "
"40","Negatif",-2," tito    bangsadi  isu jokowi  riodedi  satgassus mp sambodi  isu otonom "
"41","Negatif",-3," jokowi ga salah k mafianya yg salah jokowi org  yg berjuang    riode  "
"42","Netral",0," kena malu  da jamanya k jokowi nuntutnya   kemana da riode esiden yg  lucu "
"43","Positif",1," kl   keuntungan jokowi mah   riode rtama uda dibikin  yukgunakanakalsehat"
"44","Netral",0," keknya sing ra ngotak koe nojokowi ddi walkot  riode ddi gubernur  ri "
"45","Netral",0,"ciriciri orang masuk surga  nemenin carnya eyelash  nails artsam jokowi  riode   kelar "
"46","Netral",0," an lihannya jokowi teta riode "
"47","Netral",0," ttejokowi esiden  riode"
"48","Negatif",-1," salah  ajak jokowi  salahsaya dukung utk bera riode n  "
"49","Netral",0," ktya gak rcaya k jokowiknoni  riode   takutcoba "
"50","Positif",1," jokowi berkalikali menyamikan tdk bersedia utk   riodekrn konst "
"51","Negatif",-1," rezim  dpr riode  mencatatkan nama meraka  sejarah mematikan demokrasi indones "
"52","Netral",0," lo yg bodohjelas jokowi sdh  riode goblok lo"
"53","Negatif",-1," mantakdet tolong  riode aja ya"
"54","Negatif",-2,"   cm berkir jokowi orang  tdk nya beban am dendam    sami beliau "
"55","Netral",0,"  terlih mas  ngefans  keluarga k jokowi  riode   esiden   j "
"56","Negatif",-1,"ruarrr biasaaahh agendareencanaplan rezim oligarki   a jokowi  periodeb penundaan pemilu c "
"57","Netral",0," ham   ketololan elo dimana  kodran kadrun  ntaran dikit g deh  udah tol "
"58","Positif",1," alhamdulillah yaa  jokowi berhasil   ndukung  "
"59","Negatif",-1,"  anak  lahir kemarin sore kali ya  tandanya anis besuk menjabat ri   riode lihat nih con "
"60","Netral",0,"  sy   dlm litikkarna litik  dinamisnarasi diats sma jg ktika nasdem dukung "
"61","Netral",0,"   anies kalahkan sby  jkw  sby   jokowi  terbukti  presiden "
"62","Negatif",-1," kalo flashback  riode   jokowi  gila ya badainya kadang heran beliau  kokoh bertahan  "
"63","Positif",1,"   kadrun ta  rakyat indonesia  mencintai esiden jokowi dn klo uu  rbo "
"64","Netral",0," lha santai aja kali pemilu   d  ogr "
"65","Netral",0," jokowi  riode   setuju mamak "
"66","Negatif",-1,"   maksud sia jokowi  berkali kali  siaran resmi  esiden    "
"67","Netral",0," hamr  riode bani kadrun  kegaduhan  memovokasi ndukung jokowi   skrg be "
"68","Positif",1,"presiden jokowi taat  konstitusi    menjabat   riode  laksanaan milu tetases "
"69","Negatif",-1,"   rsen jg terserah yg  bicarakan yg  p jokowi  riode  masyarakat"
"70","Negatif",-1,"yg bahaya  ri  klw jokowi  riode  rakyat  melarat  rakyat china  jaya "
"71","Netral",0," jokowi  periode"
"72","Negatif",-1," ni ambruk  bs  riodebong idiot"
"73","Negatif",-1," lha emang iya  cuci tangankasian yg sdh ngadrun  riode ga diakui  ga dat suaranya "
"74","Negatif",-2,"seandainya  jalan tol  kemacetan serti  takkan terjadimuda mudahan disisa riode    "
"75","Netral",0,"  periodedan ntah sdh bera  dosa nyadi  ngagum nya ber "
"76","Negatif",-1,"  rnah main kelosok solok selatan nduduk nya cinta jokowikrn luhan tahuntanah "
"77","Netral",0," mmg   kerja cuku riode dilih stlh  masuk kotak"
"78","Positif",1,"indonesia timur memenangkan nasdem  milu kemarin  memilih jokowi  esidenselama hamr  riode "
"79","Netral",0," partai ngusung   muak "
"80","Negatif",-1," disayangkan jokowi    periodeseandainya   riode ssti kelih lagisehat  bk presiden jokowi"
"81","Netral",0," stok jgn jual negara  and umnkan ibukota  jangkauan china  australia  biarkan nj "
"82","Netral",0," ngain lu bahas gub yg udh rna tugas kocak lupr "
"83","Netral",0,"  dukung jokowi  riode"
"84","Netral",0,"  jaman kamnye jokowi riode rtama emang  naek ivate jet "
"85","Netral",0," daridulu jaman jokowi riode  jg udh naek ivate jet "
"86","Negatif",-1,"terimakasih k   riode  ringkat    sisi  "
"87","Negatif",-3,"  menderita  k dhe  presiden  gerombolan koruptor bajingan orde   "
"88","Positif",1," pemberian allah swt yg tut  syukuri  ri  jokowi  riode"
"89","Netral",0," mending rcaya jokowi  riode"
"90","Negatif",-1," jokowi manta riode lawan  pdi"
"91","Netral",0," jokowi aja d  riode nggungnya ambruk "
"92","Negatif",-1,"manusi dungu   yg  merkan sumbar riau dn aceh sdh jlas  riode    milih k jo "
"93","Netral",0,"  sawat chaeteran seandainyan difasilitasi  jokowi  difasilitasi surya "
"94","Netral",0," dukung  riode   alasannya   caes yg    jokowi "
"95","Negatif",-1," ya gimana gak gundah gulanasialnya klo  gak   riode  esiden   lihan ol "
"96","Negatif",-1," analisis menarik am tajam ttg ran oligarki jokowi  periode penundaan pemilu dukung presid "
"97","Netral",0,"  buzzer jokowi  riode"
"98","Netral",0,"  esidennya  jokowi  riode "
"99","Netral",0," jokowi  riode si"
"100","Netral",0," kalyean  lih bu an jd esiden  a k jokowi nambah riode   riode"
"101","Netral",0," hidujokowi  riode hiduesemkagitu aja koq ret  anies suka ngibul ngibulin warga "
"102","Negatif",-1," yg ga tenang tuh yg krasak krusuk nyari  drun blm  nya kamn "
"103","Netral",0," ta beliau  esiden sm riode sdgkan   gembel yg kelaran  hidu "
"104","Netral",0,"  vote jokowi  riode"
"105","Netral",0,"meningkatnya elektabilitas  mengejutkan   track record  estasinya   "
"106","Negatif",-2,"  kena stroke otak     mati rizal ramli akibat kalut kiran jokowi   riode"
"107","Negatif",-1," tum akah    mencegah  jokowi biar ga  riode "
"108","Positif",1,"buzzer samhnya wan ngibul aka wan got aka raja  bayar doyan  bkin tagar kaya giniloe mah  seuit "
"109","Negatif",-1," kualitas orang yg suka kritik merintah   pantes aja "
"110","Netral",0,"  riode  k prabowo next k ganjar "
"111","Netral",0,"  namanya  ijin am kendak allah swt k jokowi  esiden insyaallah sami  riode   "
"112","Netral",0," telat ente nih  terbaru lanyalla silahkan jokowi  periode "
"113","Netral",0,"    k jokowi  riode indonesia  "
"114","Positif",2,"memilih ganjar   memilih jokowi  riode "
"115","Negatif",-1," fir kafir  gak  fir  aja   merintah   kuasai "
"116","Netral",0," hahahakau yg minum obat dulukan sdh ku bilang gak nting pdip gak laku  "
"117","Negatif",-2," aaan hoax lo keliling dunia jg orang tau klo jokowi  riodedasar bodoh"
"118","Netral",0,"   ndukung jokowi  riode"
"119","Positif",1,"prestasi puan maharani munafikun sahkan uu ikn   musnahkan  kota jakarta dikritik rakyat krn "
"120","Netral",0,"lo aman gue dukung jokowi  riode"
"121","Negatif",-1," jokowi sih ga rlu kamnye   riode  ribut banget ra "
"122","Netral",0," jokowi presiden  periode"
"123","Netral",0," liat raeni aje bikin  muntah algi   riode  allah guwe sdh kgk minat lg  loe joko "
"124","Positif",3," pdip tdk menang  sumbar tmenang  temt lainhahahapak jokowi tdk mena "
"125","Netral",0,"jokowi mania   relawan jokowi   jokowi  periode "
"126","Netral",0,"hiduk semoga   riode selanjut nya "
"127","Netral",0," bknny dh heboh klu jokowi dimodali kelomk yg dibilang  naga "
"128","Netral",0," ngomong    beda kelas k jokowi esiden  riode  ser riode gubernur "
"129","Negatif",-1," kadrun triak jokowi mundur cebong triak jokowi  periodeloe de lih  gw lih yg no   a loe "
"130","Negatif",-1," lanyalla silahkan jokowi  periode "
"131","Negatif",-1," gila sik heru budi  penjabat gubernur dki jakarta pan  presiden joko widodo kek deseu ber "
"132","Netral",0," remehin jokow "
